GENE_ENTREZ_ID	GENE_SYMBOL	DISEASE_IDS
9508	ADAMTS3	ORPHA:2136,OMIM:618154
9719	ADAMTSL2	OMIM:231050
54507	ADAMTSL4	ORPHA:1885,OMIM:225200,OMIM:225100
103	ADAR	ORPHA:225154,OMIM:615010,OMIM:127400,ORPHA:41,ORPHA:51
113179	ADAT3	OMIM:615286
107	ADCY1	OMIM:610154
55811	ADCY10	OMIM:143870,ORPHA:2197
109	ADCY3	OMIM:617885
111	ADCY5	ORPHA:324588,OMIM:606703,ORPHA:1429
112	ADCY6	OMIM:616287,ORPHA:2680
118	ADD1	OMIM:145500
120	ADD3	OMIM:617008
30817	ADGRE2	OMIM:125630
9289	ADGRG1	OMIM:606854,OMIM:615752
10149	ADGRG2	ORPHA:48,OMIM:300985
57211	ADGRG6	OMIM:616503
84059	ADGRV1	OMIM:604352,OMIM:605472,ORPHA:36387,ORPHA:231178
125	ADH1B	OMIM:103780
126	ADH1C	OMIM:103780,OMIM:168600
132	ADK	OMIM:614300
23394	ADNP	OMIM:615873,ORPHA:404448
54936	ADPRS	OMIM:618170
151	ADRA2B	OMIM:607876,ORPHA:86814
154	ADRB2	OMIM:600807,OMIM:601665
155	ADRB3	OMIM:601665
158	ADSL	ORPHA:46,OMIM:103050
122622	ADSS1	OMIM:617030
165	AEBP1	OMIM:618000
2334	AFF2	ORPHA:100973,OMIM:309548
27125	AFF4	OMIM:616368
10939	AFG3L2	OMIM:610246,ORPHA:101109,ORPHA:313772,OMIM:614487
174	AFP	OMIM:615969,OMIM:615970
175	AGA	ORPHA:93,OMIM:208400
123624	AGBL1	OMIM:615523
60509	AGBL5	OMIM:617023,ORPHA:791
55750	AGK	OMIM:212350,OMIM:614691,ORPHA:1369
178	AGL	ORPHA:366,OMIM:232400
10555	AGPAT2	OMIM:608594,ORPHA:528
8540	AGPS	OMIM:600121
375790	AGRN	OMIM:615120,ORPHA:98914,ORPHA:98913
181	AGRP	OMIM:601665
183	AGT	OMIM:267430,OMIM:145500
23287	AGTPBP1	OMIM:618276
185	AGTR1	OMIM:267430,OMIM:145500
189	AGXT	ORPHA:93598,OMIM:259900
64902	AGXT2	OMIM:210100
191	AHCY	ORPHA:88618,OMIM:613752
27245	AHDC1	OMIM:615829
54806	AHI1	ORPHA:220493,ORPHA:791,ORPHA:475,OMIM:608629
196	AHR	ORPHA:791,OMIM:618345
197	AHSG	ORPHA:2850,OMIM:203650
57379	AICDA	OMIM:605258
9131	AIFM1	ORPHA:101078,ORPHA:83629,OMIM:300816,OMIM:300614,ORPHA:238329,OMIM:310490
9255	AIMP1	OMIM:260600,ORPHA:88616
7965	AIMP2	OMIM:618006
9049	AIP	OMIM:102200,ORPHA:963,ORPHA:2965,OMIM:219090
23746	AIPL1	OMIM:268000,ORPHA:1872,ORPHA:65,OMIM:604393
326	AIRE	ORPHA:3453,OMIM:240300
203	AK1	OMIM:612631
204	AK2	ORPHA:33355,OMIM:267500
122481	AK7	OMIM:617965
11216	AKAP10	OMIM:115080
10142	AKAP9	ORPHA:101016,OMIM:611820,ORPHA:130
1646	AKR1C2	OMIM:614279
1109	AKR1C4	OMIM:614279
6718	AKR1D1	OMIM:235555,ORPHA:79303
207	AKT1	OMIM:615109,OMIM:114500,ORPHA:744,OMIM:167000,OMIM:181500,OMIM:114480,OMIM:176920,ORPHA:201
208	AKT2	ORPHA:293964,OMIM:240900,ORPHA:79085,OMIM:125853
10000	AKT3	ORPHA:83473,OMIM:615937
210	ALAD	OMIM:612740,ORPHA:100924
212	ALAS2	OMIM:300751,ORPHA:75563,OMIM:300752
213	ALB	OMIM:616000,ORPHA:86816
5832	ALDH18A1	OMIM:601162,ORPHA:447753,OMIM:219150,OMIM:616586,OMIM:616603,ORPHA:35664,ORPHA:447757,ORPHA:90348,ORPHA:447760
220	ALDH1A3	OMIM:615113
217	ALDH2	OMIM:610251
224	ALDH3A2	OMIM:270200,ORPHA:816
8659	ALDH4A1	OMIM:239510
7915	ALDH5A1	OMIM:271980,ORPHA:22
4329	ALDH6A1	OMIM:614105
501	ALDH7A1	ORPHA:3006,OMIM:266100
226	ALDOA	OMIM:611881
229	ALDOB	OMIM:229600,ORPHA:469
56052	ALG1	ORPHA:79327,OMIM:608540
144245	ALG10B	OMIM:613688
440138	ALG11	ORPHA:280071,OMIM:613661
79087	ALG12	OMIM:607143,ORPHA:79324
79868	ALG13	OMIM:300884,ORPHA:324422,ORPHA:777
199857	ALG14	OMIM:616227,ORPHA:353327
85365	ALG2	OMIM:616228,ORPHA:79326,ORPHA:353327,OMIM:607906
10195	ALG3	OMIM:601110,ORPHA:79321
29929	ALG6	OMIM:603147,ORPHA:79320
79053	ALG8	OMIM:617874,ORPHA:79325,OMIM:608104
79796	ALG9	OMIM:263210,ORPHA:79328,OMIM:608776
238	ALK	ORPHA:635
91801	ALKBH8	OMIM:618504
7840	ALMS1	OMIM:203800,ORPHA:64
242	ALOX12B	ORPHA:79394,ORPHA:313,ORPHA:281122,OMIM:242100
240	ALOX5	OMIM:600807
241	ALOX5AP	OMIM:601367
59344	ALOXE3	ORPHA:79394,ORPHA:313,ORPHA:281122,OMIM:606545,OMIM:242100
57538	ALPK3	OMIM:618052
249	ALPL	OMIM:241510,OMIM:146300,OMIM:241500
57679	ALS2	ORPHA:293168,OMIM:607225,OMIM:205100,OMIM:606353,ORPHA:300605,ORPHA:247604
8092	ALX1	ORPHA:306542,OMIM:613456
257	ALX3	ORPHA:391474,OMIM:136760
60529	ALX4	ORPHA:228390,OMIM:613451,OMIM:609597,OMIM:615529,ORPHA:35093,ORPHA:52022
23600	AMACR	ORPHA:79095,OMIM:614307,OMIM:214950
258	AMBN	OMIM:616270
265	AMELX	OMIM:301200
139285	AMER1	OMIM:300373,ORPHA:2780
268	AMH	ORPHA:2856,OMIM:261550
269	AMHR2	ORPHA:2856,OMIM:261550
9949	AMMECR1	ORPHA:86818,OMIM:300990
81693	AMN	OMIM:261100
270	AMPD1	ORPHA:45,OMIM:615511
271	AMPD2	OMIM:615809,OMIM:615686,ORPHA:401805
272	AMPD3	ORPHA:45
275	AMT	OMIM:605899
401138	AMTN	OMIM:617607
283	ANG	OMIM:611895,ORPHA:803
27329	ANGPTL3	OMIM:605019
286	ANK1	ORPHA:822,ORPHA:251066,OMIM:182900
287	ANK2	OMIM:600919,ORPHA:101016
288	ANK3	OMIM:615493,ORPHA:356996
56172	ANKH	OMIM:118600,OMIM:123000,ORPHA:1522,ORPHA:1416
23141	ANKLE2	ORPHA:2512,OMIM:616681
29123	ANKRD11	ORPHA:2332,OMIM:148050,ORPHA:261250
22852	ANKRD26	OMIM:188000
203286	ANKS6	OMIM:615382
54443	ANLN	OMIM:616032
55129	ANO10	OMIM:613728,ORPHA:284289
63982	ANO3	OMIM:615034,ORPHA:420485
203859	ANO5	OMIM:611307,ORPHA:53697,OMIM:613319,ORPHA:399096,ORPHA:206549,OMIM:166260
196527	ANO6	OMIM:262890
3730	ANOS1	ORPHA:432,OMIM:308700,ORPHA:478
84168	ANTXR1	OMIM:602089,OMIM:230740,ORPHA:2067
118429	ANTXR2	OMIM:228600,ORPHA:2176,ORPHA:2028
311	ANXA11	ORPHA:803,OMIM:617839
308	ANXA5	OMIM:614391
1174	AP1S1	ORPHA:171851,OMIM:609313
8905	AP1S2	ORPHA:85335,OMIM:304340,ORPHA:85329,ORPHA:1568
130340	AP1S3	OMIM:616106
1175	AP2S1	OMIM:600740
8546	AP3B1	OMIM:608233
8120	AP3B2	ORPHA:442835,OMIM:617276
8943	AP3D1	OMIM:617050,ORPHA:284804
10717	AP4B1	OMIM:614066,ORPHA:280763
23431	AP4E1	OMIM:184450,ORPHA:280763,OMIM:613744
9179	AP4M1	ORPHA:280763,OMIM:612936
11154	AP4S1	ORPHA:280763,OMIM:614067
9907	AP5Z1	ORPHA:306511,OMIM:613647
324	APC	OMIM:114500,ORPHA:261584,ORPHA:247806,ORPHA:873,ORPHA:79665,ORPHA:3258,OMIM:175100,OMIM:114550,OMIM:613659,ORPHA:99818,OMIM:135290
10297	APC2	OMIM:617169,ORPHA:821
147495	APCDD1	OMIM:605389,ORPHA:55654
335	APOA1	ORPHA:425,OMIM:105200
336	APOA2	OMIM:143890
116519	APOA5	OMIM:145750,OMIM:144650
338	APOB	OMIM:615558,OMIM:144010,ORPHA:391665
344	APOC2	OMIM:207750
345	APOC3	OMIM:614028,ORPHA:79506
348	APOE	OMIM:269600,OMIM:611771,OMIM:104310,ORPHA:412,ORPHA:158029,OMIM:603075,OMIM:606889
8542	APOL1	OMIM:612551
23780	APOL2	OMIM:181500
80832	APOL4	OMIM:181500
351	APP	OMIM:605714,ORPHA:324703,ORPHA:324713,OMIM:104300,ORPHA:100006,ORPHA:324723,ORPHA:324708,ORPHA:1020
26060	APPL1	OMIM:616511,ORPHA:552
353	APRT	OMIM:614723,ORPHA:976
54840	APTX	OMIM:208920,ORPHA:1168
359	AQP2	OMIM:125800,ORPHA:223
362	AQP5	ORPHA:2337,OMIM:600231
367	AR	OMIM:176807,ORPHA:481,OMIM:300068,OMIM:312300,ORPHA:90797,OMIM:300633,ORPHA:99429,OMIM:313200
372	ARCN1	OMIM:617164
375	ARF1	ORPHA:98892,OMIM:618185
10564	ARFGEF2	ORPHA:98892,OMIM:608097
383	ARG1	ORPHA:90,OMIM:207800
23092	ARHGAP26	OMIM:607785
57514	ARHGAP31	ORPHA:974,OMIM:100300
396	ARHGDIA	OMIM:615244
9138	ARHGEF1	OMIM:618459
9639	ARHGEF10	OMIM:608236
23370	ARHGEF18	OMIM:617433,ORPHA:791
9181	ARHGEF2	OMIM:617523
23229	ARHGEF9	OMIM:300607,ORPHA:163985
8289	ARID1A	OMIM:614607,ORPHA:1465
57492	ARID1B	OMIM:135900,ORPHA:251056,ORPHA:1465
196528	ARID2	OMIM:617808,ORPHA:1465
200894	ARL13B	OMIM:612291,ORPHA:475
23568	ARL2BP	ORPHA:791,OMIM:615434
403	ARL3	OMIM:618161,ORPHA:791,ORPHA:475,OMIM:618173
84100	ARL6	OMIM:613575,ORPHA:110,ORPHA:791,OMIM:268000,OMIM:600151
23204	ARL6IP1	OMIM:615685,ORPHA:401780
84071	ARMC2	OMIM:618433
55130	ARMC4	OMIM:615451,ORPHA:244
79798	ARMC5	OMIM:615954,ORPHA:189427
80210	ARMC9	OMIM:617622,ORPHA:475
9915	ARNT2	ORPHA:3157,OMIM:615926
10095	ARPC1B	OMIM:617718
407	ARR3	OMIM:301010
410	ARSA	ORPHA:309271,ORPHA:309263,ORPHA:309256,OMIM:250100
411	ARSB	OMIM:253200
22901	ARSG	ORPHA:231183,OMIM:618144
415	ARSL	OMIM:302950
64801	ARV1	OMIM:617020,ORPHA:442835
170302	ARX	OMIM:300004,ORPHA:3175,OMIM:309510,ORPHA:777,OMIM:308350,ORPHA:1934,ORPHA:3451,OMIM:300419,ORPHA:94083,OMIM:300215,ORPHA:452,ORPHA:2508
427	ASAH1	OMIM:228000,ORPHA:2590,OMIM:159950,ORPHA:333
136371	ASB10	OMIM:603383
51008	ASCC1	OMIM:614266,OMIM:616867
429	ASCL1	ORPHA:99803,OMIM:209880
55870	ASH1L	OMIM:617796
435	ASL	OMIM:207900,ORPHA:23
440	ASNS	OMIM:615574
443	ASPA	ORPHA:314911,OMIM:271900,ORPHA:314918
444	ASPH	OMIM:601552
259266	ASPM	ORPHA:2512,OMIM:608716
54829	ASPN	OMIM:607850
79058	ASPSCR1	OMIM:606243
445	ASS1	OMIM:215700
171023	ASXL1	ORPHA:98849,OMIM:614286,ORPHA:97297,OMIM:605039
55252	ASXL2	OMIM:617190
80816	ASXL3	OMIM:615485,ORPHA:352577
84896	ATAD1	ORPHA:3197,OMIM:618011
55210	ATAD3A	OMIM:617183,ORPHA:496790
85300	ATCAY	ORPHA:94122,OMIM:601238
22926	ATF6	OMIM:616517,ORPHA:49382,ORPHA:1872
9474	ATG5	OMIM:617584
471	ATIC	OMIM:608688,ORPHA:250977
51062	ATL1	OMIM:182600,ORPHA:100984,OMIM:613708
25923	ATL3	OMIM:615632
472	ATM	OMIM:114480,ORPHA:52416,ORPHA:100,OMIM:208900
1822	ATN1	OMIM:618494,OMIM:125370,ORPHA:101
220202	ATOH7	OMIM:221900
286410	ATP11C	OMIM:301015
23400	ATP13A2	ORPHA:314632,OMIM:617225,ORPHA:306674,OMIM:606693,ORPHA:513436
476	ATP1A1	OMIM:618036,OMIM:618314
477	ATP1A2	OMIM:104290,OMIM:602481,ORPHA:569
478	ATP1A3	OMIM:601338,ORPHA:71517,OMIM:614820,OMIM:128235,ORPHA:1171
481	ATP1B1	OMIM:145500
487	ATP2A1	OMIM:601003
488	ATP2A2	ORPHA:218,OMIM:101900,OMIM:124200
491	ATP2B2	OMIM:601386
492	ATP2B3	ORPHA:314978,OMIM:302500
27032	ATP2C1	ORPHA:2841,OMIM:169600
498	ATP5F1A	OMIM:615228,OMIM:616045
513	ATP5F1D	OMIM:618120
514	ATP5F1E	OMIM:614053
4508	ATP6	OMIM:535000,OMIM:551500
537	ATP6AP1	OMIM:300972
10159	ATP6AP2	ORPHA:363654,OMIM:300423,OMIM:300911,ORPHA:93952
23545	ATP6V0A2	OMIM:219200,OMIM:278250,ORPHA:357074,ORPHA:2834
50617	ATP6V0A4	OMIM:602722
523	ATP6V1A	OMIM:617403,ORPHA:442835,OMIM:618012,ORPHA:357074
525	ATP6V1B1	OMIM:267300
526	ATP6V1B2	ORPHA:3473,OMIM:124480,OMIM:616455,ORPHA:79499
529	ATP6V1E1	OMIM:617402,ORPHA:357074
538	ATP7A	ORPHA:565,ORPHA:198,OMIM:309400,OMIM:304150,OMIM:300489
540	ATP7B	ORPHA:905,OMIM:277900
51761	ATP8A2	ORPHA:1766,OMIM:615268
5205	ATP8B1	OMIM:147480,OMIM:243300,OMIM:211600
91647	ATPAF2	OMIM:604273
545	ATR	OMIM:614564,ORPHA:808,OMIM:210600
546	ATRX	ORPHA:847,ORPHA:231401,OMIM:309580,ORPHA:93973,ORPHA:93972,ORPHA:93974,ORPHA:100075,OMIM:300448,ORPHA:93970,OMIM:301040,ORPHA:93971
6310	ATXN1	OMIM:164400,ORPHA:98755
25814	ATXN10	OMIM:603516,ORPHA:98761
6311	ATXN2	ORPHA:803,ORPHA:98756,OMIM:168600,OMIM:183090
4287	ATXN3	OMIM:109150,ORPHA:276244,ORPHA:276238,ORPHA:276241
6314	ATXN7	ORPHA:94147,OMIM:164500
724066	ATXN8	OMIM:608768,ORPHA:98760
6315	ATXN8OS	OMIM:608768,ORPHA:98760,OMIM:168600
549	AUH	ORPHA:67046,OMIM:250950
6795	AURKC	OMIM:243060
26053	AUTS2	ORPHA:352490,OMIM:615834
551	AVP	OMIM:125700,ORPHA:30925
554	AVPR2	OMIM:300539,OMIM:304800,ORPHA:223
8312	AXIN1	OMIM:114550,OMIM:607864
8313	AXIN2	OMIM:114500,ORPHA:401911,OMIM:608615,ORPHA:99798
558	AXL	OMIM:146110
567	B2M	OMIM:241600,ORPHA:314652,OMIM:105200
148789	B3GALNT2	ORPHA:88616,ORPHA:899,OMIM:615181,ORPHA:588
126792	B3GALT6	ORPHA:93359,OMIM:615349,OMIM:271640
26229	B3GAT3	OMIM:245600
145173	B3GLCT	ORPHA:709,OMIM:261540
2583	B4GALNT1	OMIM:609195,ORPHA:101006
2683	B4GALT1	ORPHA:79332,OMIM:607091
11285	B4GALT7	ORPHA:75496,OMIM:130070
11041	B4GAT1	OMIM:615287,ORPHA:899
27077	B9D1	ORPHA:564,OMIM:614209,OMIM:617120,ORPHA:475
80776	B9D2	ORPHA:564,OMIM:614175
570	BAAT	OMIM:607748
60468	BACH2	OMIM:618394
9531	BAG3	OMIM:612954,ORPHA:154,OMIM:613881
8815	BANF1	OMIM:614008
8314	BAP1	ORPHA:39044,ORPHA:618,OMIM:614327
580	BARD1	ORPHA:145,OMIM:114480
92482	BBIP1	ORPHA:110,OMIM:615995
582	BBS1	ORPHA:110,OMIM:209900
79738	BBS10	ORPHA:110,OMIM:615987
166379	BBS12	ORPHA:110,OMIM:615989
583	BBS2	OMIM:616562,ORPHA:110,ORPHA:791,OMIM:615981
585	BBS4	ORPHA:110,OMIM:615982
129880	BBS5	ORPHA:110,OMIM:615983
55212	BBS7	ORPHA:110,OMIM:615984
27241	BBS9	ORPHA:110,OMIM:615986
10134	BCAP31	OMIM:300475,ORPHA:369939
590	BCHE	ORPHA:132
593	BCKDHA	OMIM:248600
594	BCKDHB	OMIM:248600
10295	BCKDK	OMIM:614923
8915	BCL10	OMIM:605027,ORPHA:52417,OMIM:137245,OMIM:616098,OMIM:156240,OMIM:273300
53335	BCL11A	OMIM:617101
64919	BCL11B	OMIM:617237,OMIM:618092
53630	BCO1	OMIM:115300
54880	BCOR	ORPHA:2712,ORPHA:520,OMIM:300166,ORPHA:568,OMIM:309800
63035	BCORL1	OMIM:301029
613	BCR	OMIM:608232,ORPHA:261330,ORPHA:521,OMIM:613065
617	BCS1L	OMIM:124000,OMIM:603358,ORPHA:123,OMIM:256000,ORPHA:53693,OMIM:262000
55814	BDP1	OMIM:618257
146227	BEAN1	ORPHA:217012,OMIM:117210
7439	BEST1	ORPHA:1243,OMIM:613194,ORPHA:791,OMIM:153700,ORPHA:99000,OMIM:611809,OMIM:193220
631	BFSP1	OMIM:611391
8419	BFSP2	OMIM:611597
633	BGN	OMIM:300989,OMIM:300106
727857	BHLHA9	ORPHA:3329,ORPHA:1986,OMIM:607539,ORPHA:157801,OMIM:609432
80114	BICC1	OMIM:601331
23299	BICD2	ORPHA:363454,OMIM:618291,OMIM:615290
274	BIN1	ORPHA:169186,ORPHA:169189,OMIM:255200
640	BLK	ORPHA:552,OMIM:613375
641	BLM	ORPHA:125,OMIM:210900
29760	BLNK	ORPHA:33110,OMIM:613502
388552	BLOC1S3	OMIM:614077
26258	BLOC1S6	OMIM:614171
644	BLVRA	OMIM:614156
649	BMP1	OMIM:614856
9210	BMP15	ORPHA:243,OMIM:300510
650	BMP2	OMIM:235200,OMIM:617877,ORPHA:261295,OMIM:112600,ORPHA:93396
652	BMP4	ORPHA:139471,OMIM:600625,OMIM:607932,ORPHA:199306
168667	BMPER	OMIM:608022,ORPHA:66637
657	BMPR1A	OMIM:610069,OMIM:174900,ORPHA:79076,ORPHA:440437,ORPHA:157794,ORPHA:329971
658	BMPR1B	OMIM:609441,ORPHA:93388,OMIM:112600,ORPHA:93384,ORPHA:2639,ORPHA:93396,ORPHA:2098,OMIM:616849
659	BMPR2	OMIM:178600,OMIM:265450
9790	BMS1	OMIM:107600,ORPHA:1114
54796	BNC2	ORPHA:93110
388962	BOLA3	OMIM:614299
669	BPGM	OMIM:222800
2186	BPTF	ORPHA:529962,OMIM:617755
9083	BPY2	OMIM:415000
673	BRAF	OMIM:115150,OMIM:163950,ORPHA:54595,ORPHA:500,OMIM:613707,OMIM:613706,ORPHA:1340,ORPHA:648,ORPHA:99872,OMIM:211980
221927	BRAT1	OMIM:618056,OMIM:614498
672	BRCA1	ORPHA:145,ORPHA:84,OMIM:617883,OMIM:604370,OMIM:114480,ORPHA:1333,ORPHA:168829
675	BRCA2	ORPHA:145,ORPHA:84,OMIM:155255,ORPHA:654,OMIM:176807,OMIM:613347,OMIM:114480,ORPHA:1333,OMIM:613029,OMIM:612555,OMIM:194070,OMIM:605724
676	BRDT	OMIM:617644
2972	BRF1	OMIM:616202
83990	BRIP1	ORPHA:145,ORPHA:84,OMIM:114480,OMIM:609054
7862	BRPF1	OMIM:617333
254065	BRWD3	OMIM:300659
26580	BSCL2	ORPHA:528,OMIM:269700,OMIM:270685,OMIM:615924,ORPHA:139536,ORPHA:363400,OMIM:600794,ORPHA:100998
7809	BSND	OMIM:602522
686	BTD	ORPHA:79241,OMIM:253260
695	BTK	OMIM:307200,OMIM:300755,ORPHA:47
56244	BTNL2	OMIM:612387,ORPHA:797
699	BUB1	OMIM:114500,ORPHA:1052
701	BUB1B	OMIM:114500,OMIM:176430,ORPHA:1052,OMIM:257300
11149	BVES	OMIM:616812
57102	C12orf4	OMIM:618221
113246	C12orf57	OMIM:218340
91574	C12orf65	OMIM:615035,OMIM:613559
84529	C15orf41	OMIM:615631
83636	C19orf12	OMIM:614298,OMIM:615043
29071	C1GALT1C1	OMIM:300622
712	C1QA	OMIM:613652,ORPHA:93552
713	C1QB	OMIM:613652
708	C1QBP	OMIM:617713
714	C1QC	OMIM:613652
114902	C1QTNF5	OMIM:605670
715	C1R	OMIM:130080,ORPHA:75392,ORPHA:93552
716	C1S	ORPHA:75392,OMIM:617174,OMIM:613783
717	C2	OMIM:217000
26005	C2CD3	OMIM:615948
718	C3	OMIM:613779,OMIM:612925
720	C4A	ORPHA:117,OMIM:614380
721	C4B	OMIM:614379
727	C5	OMIM:609536
729	C6	OMIM:612446
730	C7	OMIM:610102
731	C8A	OMIM:613790
732	C8B	OMIM:613789
157657	C8orf37	OMIM:268000,OMIM:614500,OMIM:617406
735	C9	OMIM:613825
203228	C9orf72	OMIM:105550
771	CA12	OMIM:143860
760	CA2	ORPHA:2785,OMIM:259730
762	CA4	OMIM:600852,ORPHA:791
763	CA5A	OMIM:615751
767	CA8	OMIM:613227,ORPHA:1766
51475	CABP2	OMIM:614899
57010	CABP4	OMIM:610427,ORPHA:215
773	CACNA1A	ORPHA:97,OMIM:108500,OMIM:183086,ORPHA:442835,ORPHA:71518,OMIM:141500,ORPHA:98758,ORPHA:569,OMIM:617106
774	CACNA1B	OMIM:618497,ORPHA:442835
775	CACNA1C	OMIM:611875,OMIM:601005,ORPHA:130
776	CACNA1D	ORPHA:369929,OMIM:615474,OMIM:614896
777	CACNA1E	OMIM:618285
778	CACNA1F	OMIM:300476,OMIM:300071,ORPHA:1872,ORPHA:178333,OMIM:300600,ORPHA:215
8913	CACNA1G	ORPHA:458803,OMIM:616795,OMIM:618087
8912	CACNA1H	ORPHA:64280,OMIM:617027
779	CACNA1S	ORPHA:681,OMIM:601887,OMIM:170400,ORPHA:79102,OMIM:188580,ORPHA:423
9254	CACNA2D2	OMIM:618501
93589	CACNA2D4	OMIM:610478,ORPHA:1872,ORPHA:215
783	CACNB2	OMIM:611876,ORPHA:130
785	CACNB4	ORPHA:211067,OMIM:607682,OMIM:613855,ORPHA:307
10369	CACNG2	OMIM:614256
790	CAD	OMIM:616457
799	CALCR	OMIM:166710
801	CALM1	ORPHA:101016,ORPHA:3286,OMIM:616247,OMIM:614916
805	CALM2	ORPHA:101016,ORPHA:3286,OMIM:616249,ORPHA:130
811	CALR	OMIM:187950,OMIM:254450,ORPHA:824,ORPHA:3318
815	CAMK2A	OMIM:618095,OMIM:617798
816	CAMK2B	OMIM:617799
818	CAMK2G	OMIM:618522
23261	CAMTA1	ORPHA:314647,OMIM:614756
124583	CANT1	OMIM:251450,OMIM:617719,ORPHA:1425
823	CAPN1	OMIM:616907,ORPHA:488594
825	CAPN3	OMIM:618129,OMIM:253600,ORPHA:267
726	CAPN5	OMIM:193235
84433	CARD11	OMIM:616452,OMIM:615206,OMIM:617638
79092	CARD14	OMIM:173200,ORPHA:2897,OMIM:602723
64170	CARD9	OMIM:212050
146206	CARMIL2	OMIM:618131
79587	CARS2	OMIM:616672,ORPHA:477774
9607	CARTPT	OMIM:601665
